,序号,客队半场得分,客队球衣颜色,赢球平均欧指数,客队名称,本场比赛序号,主队盘路名称,客队盘路名称,盘路,status,平球平均欧指,主队ID,比赛时间,澳门盘口,输球平均欧指,主队本轮排名,主队名称,客队得分,主队得分,主队半场得分,轮次,客队本轮排名
0,0,lred,,亚特兰大,1308,3828,博洛尼亚,亚特兰大,赢,5,,707,2001-08-26 02:30,平手/半球,,17,博洛尼亚,0,1,1,1,2
1,0,lred,,AC米兰,210,3829,布雷西,AC米兰,赢,5,,727,2001-08-26 02:30,受半球,,16,布雷西亚,2,2,2,1,1
2,1,lblue,,切沃,1174,3830,佛罗伦萨,切 沃,输,5,,803,2001-08-26 02:30,一球,,14,佛罗伦萨,2,0,0,1,6
3,0,lred,,佩鲁贾,1154,3832,国际米兰,佩鲁贾,赢,5,,846,2001-08-26 02:30,球半,,13,国际米兰,1,4,2,1,8
4,0,lred,,威尼斯,1249,3833,尤文图斯,威尼斯,赢,5,,1330,2001-08-26 02:30,球半/两球,,18,尤文图斯,0,4,3,1,5
5,0,lblue,,皮亚琴察,1162,3834,拉齐奥,皮亚琴,输,5,,964,2001-08-26 02:30,球半,,12,拉齐奥,1,1,0,1,7
6,0,lgreen,,帕尔马,1149,3835,莱  切,帕尔马,走盘,5,,972,2001-08-26 02:30,平手,,11,莱切,1,1,1,1,9
7,2,lblue,,都灵,776,3842,乌迪内斯,都  灵,输半,5,,1276,2001-08-26 02:30,平手/半球,,3,乌迪内斯,2,2,0,1,15
8,1,lred,,罗马,1032,3843,维罗纳,罗 马,赢,5,,1261,2001-08-26 02:30,受半球/一球,,4,维罗纳,1,1,0,1,10
9,1,lblue,,尤文图斯,1330,4080,亚特兰大,尤文图斯,输,5,,1308,2001-09-09 02:30,受半球,,15,亚特兰大,2,0,0,2,1
10,0,lred,,博洛尼亚,707,4083,切 沃,博洛尼亚,赢,5,,1174,2001-09-09 02:30,平手/半球,,3,切沃,0,2,1,2,4
11,1,lred,,佛罗伦萨,803,4088,AC米兰,佛罗伦萨,赢,5,,210,2001-09-09 02:30,一球/球半,,6,AC米兰,2,5,3,2,16
12,2,lgreen,,国际米兰,846,4091,帕尔马,国际米兰,走盘,5,,1149,2001-09-09 02:30,平手,,14,帕尔马,2,2,1,2,2
13,0,lblue,,莱切,972,4092,皮亚琴,莱  切,输,5,,1162,2001-09-09 02:30,平手/半球,,11,皮亚琴察,2,1,1,2,13
14,0,lred,,拉齐奥,964,4093,佩鲁贾,拉齐奥,赢,5,,1154,2001-09-09 02:30,受半球,,17,佩鲁贾,0,0,0,2,10
15,0,lblue,,乌迪内斯,1276,4096,罗 马,乌迪内斯,输,5,,1032,2001-09-09 02:30,球半,,12,罗马,1,1,0,2,5
16,1,lblue,,布雷西亚,727,4098,都  灵,布雷西,输,5,,776,2001-09-09 02:30,平手/半球,,7,都灵,3,1,1,2,8
17,0,lblue,,维罗纳,1261,4099,威尼斯,维罗纳,输,5,,1249,2001-09-09 02:30,平手/半球,,18,威尼斯,1,0,0,2,9
18,0,lred,,帕尔马,1149,3906,博洛尼亚,帕尔马,赢,5,,707,2001-09-16 02:30,平手,,8,博洛尼亚,0,1,0,3,9
19,1,lblue,,莱切,972,3907,布雷西,莱  切,输,5,,727,2001-09-16 02:30,半球,,5,布雷西亚,1,1,0,3,6
20,1,lred,,亚特兰大,1308,3909,佛罗伦萨,亚特兰大,赢,5,,803,2001-09-16 02:30,平手/半球,,17,佛罗伦萨,1,3,2,3,16
21,0,lblue,,威尼斯,1249,3912,国际米兰,威尼斯,输,5,,846,2001-09-16 02:30,球半/两球,,4,国际米兰,1,2,0,3,18
